ENTRY;GENERATION;INCHICODE;INCHIKEY;SMILES;FORMULA
710;1;MCKFSINAVHWBAH;MCKFSINAVHWBAH-UHFFFAOYSA-N;CNCC(=O)N1C(c2ccc3c(c2)OCO3)c2[nH]c3ccccc3c2CC1(C(=O)OC)C1OC(C(=O)O)C(O)C(O)C1O;
711;1;WQPBUOAILNBQJT;WQPBUOAILNBQJT-UHFFFAOYSA-N;CNCC(=O)N1C(c2ccc3c(c2)OCO3)c2[nH]c3ccccc3c2C(C2OC(C(=O)O)C(O)C(O)C2O)C1C(=O)OC;
712;1;KYUWLLAZGYWCFF;KYUWLLAZGYWCFF-UHFFFAOYSA-N;CNCC(=O)N1C(C(=O)OC)Cc2c([nH]c3ccccc23)C1(c1ccc2c(c1)OCO2)C1OC(C(=O)O)C(O)C(O)C1O;
713;1;SHVLKROKZCCABB;SHVLKROKZCCABB-UHFFFAOYSA-N;CNCC(=O)N1C(C(=O)OC)Cc2c([nH]c3ccccc23)C1c1cc2c(cc1C1OC(C(=O)O)C(O)C(O)C1O)OCO2;
714;1;XGBJVTDKRBHYED;XGBJVTDKRBHYED-UHFFFAOYSA-N;CNCC(=O)N1C(C(=O)OC)Cc2c([nH]c3ccccc23)C1c1cc2c(c(C3OC(C(=O)O)C(O)C(O)C3O)c1)OCO2;
715;1;BRPWWURTXDCDBM;BRPWWURTXDCDBM-UHFFFAOYSA-N;CNCC(=O)N1C(C(=O)OC)Cc2c([nH]c3ccccc23)C1c1ccc2c(c1C1OC(C(=O)O)C(O)C(O)C1O)OCO2;
716;1;LHZDYCHVRZATGJ;LHZDYCHVRZATGJ-UHFFFAOYSA-N;CNCC(=O)N1C(C(=O)OC)Cc2c([nH]c3ccccc23)C1c1ccc2c(c1)OC(C1OC(C(=O)O)C(O)C(O)C1O)O2;
717;1;LOTZIZOEYWITLU;LOTZIZOEYWITLU-UHFFFAOYSA-N;CNCC(=O)N1C(C(=O)OC)Cc2c(n(C3OC(C(=O)O)C(O)C(O)C3O)c3ccccc23)C1c1ccc2c(c1)OCO2;
718;1;RRUYFYYPUNCJFI;RRUYFYYPUNCJFI-UHFFFAOYSA-N;CNCC(=O)N1C(C(=O)OC)Cc2c([nH]c3cccc(C4OC(C(=O)O)C(O)C(O)C4O)c23)C1c1ccc2c(c1)OCO2;
719;1;NVUMTJBNTQJYHI;NVUMTJBNTQJYHI-UHFFFAOYSA-N;CNCC(=O)N1C(C(=O)OC)Cc2c([nH]c3ccc(C4OC(C(=O)O)C(O)C(O)C4O)cc23)C1c1ccc2c(c1)OCO2;
720;1;NWPUOOBBVRITCV;NWPUOOBBVRITCV-UHFFFAOYSA-N;CNCC(=O)N1C(C(=O)OC)Cc2c([nH]c3cc(C4OC(C(=O)O)C(O)C(O)C4O)ccc23)C1c1ccc2c(c1)OCO2;
721;1;UHRMJVLRRFOEBT;UHRMJVLRRFOEBT-UHFFFAOYSA-N;CNCC(=O)N1C(C(=O)OC)Cc2c([nH]c3c(C4OC(C(=O)O)C(O)C(O)C4O)cccc23)C1c1ccc2c(c1)OCO2;
722;1;FISLGQLANRURHM;FISLGQLANRURHM-UHFFFAOYSA-N;CNCC(=O)N1C(C(=O)OCC2OC(C(=O)O)C(O)C(O)C2O)Cc2c([nH]c3ccccc23)C1c1ccc2c(c1)OCO2;
723;1;VLQMFRPSZGSTSN;VLQMFRPSZGSTSN-UHFFFAOYSA-N;COC(=O)C1Cc2c([nH]c3ccccc23)C(c2ccc3c(c2)OCO3)N1C(=O)CNCC1OC(CO)C(O)C(O)C1NC(C)=O;
724;1;CRLYWABUADUIEQ;CRLYWABUADUIEQ-UHFFFAOYSA-N;COC(=O)C1Cc2c([nH]c3ccccc23)C(c2ccc3c(c2)OCO3)N1C(=O)CN(C)C1OC(CO)C(O)C(O)C1NC(C)=O;
725;1;GRGHIOOZWCWPNL;GRGHIOOZWCWPNL-UHFFFAOYSA-N;CNC(C(=O)N1C(C(=O)OC)Cc2c([nH]c3ccccc23)C1c1ccc2c(c1)OCO2)C1OC(CO)C(O)C(O)C1NC(C)=O;
726;1;XTLIEWWBLBDOLN;XTLIEWWBLBDOLN-UHFFFAOYSA-N;CNCC(=O)N1C(c2ccc3c(c2)OCO3)c2[nH]c3ccccc3c2CC1(C(=O)OC)C1OC(CO)C(O)C(O)C1NC(C)=O;
727;1;NTOVYZKKKRQFRL;NTOVYZKKKRQFRL-UHFFFAOYSA-N;CNCC(=O)N1C(c2ccc3c(c2)OCO3)c2[nH]c3ccccc3c2C(C2OC(CO)C(O)C(O)C2NC(C)=O)C1C(=O)OC;
728;1;WJQXBFWVAHFJDI;WJQXBFWVAHFJDI-UHFFFAOYSA-N;CNCC(=O)N1C(C(=O)OC)Cc2c([nH]c3ccccc23)C1(c1ccc2c(c1)OCO2)C1OC(CO)C(O)C(O)C1NC(C)=O;
729;1;WKYMTUFOCSLWDP;WKYMTUFOCSLWDP-UHFFFAOYSA-N;CNCC(=O)N1C(C(=O)OC)Cc2c([nH]c3ccccc23)C1c1cc2c(cc1C1OC(CO)C(O)C(O)C1NC(C)=O)OCO2;
730;1;NVBMAOXWQUGSKP;NVBMAOXWQUGSKP-UHFFFAOYSA-N;CNCC(=O)N1C(C(=O)OC)Cc2c([nH]c3ccccc23)C1c1cc2c(c(C3OC(CO)C(O)C(O)C3NC(C)=O)c1)OCO2;
731;1;HGUMIWPDQOPISG;HGUMIWPDQOPISG-UHFFFAOYSA-N;CNCC(=O)N1C(C(=O)OC)Cc2c([nH]c3ccccc23)C1c1ccc2c(c1C1OC(CO)C(O)C(O)C1NC(C)=O)OCO2;
732;1;NHVOQMZPJTUVMM;NHVOQMZPJTUVMM-UHFFFAOYSA-N;CNCC(=O)N1C(C(=O)OC)Cc2c([nH]c3ccccc23)C1c1ccc2c(c1)OC(C1OC(CO)C(O)C(O)C1NC(C)=O)O2;
