R_PR_UID	R_PR_STOICH
2070029437	1 1469444647 + 1 1467867460 + 1 1467865578 <=> 1 1467865592 + 1 1467870978
2070033395	1 1467877378 + 1 1467865592 <=> 1 1467865578 + 1 1467868222 + 1 1469444647
2070033582	2 1467871046 + 1 1467865578 <=> 1 1467865592 + 2 1467865687 + 1 1469444647 + 1 1467874171
2070034204	1 1467915014 + 1 1467865592 <=> 1 1467865578 + 1 1469444647 + 1 1467915001
2070035185	1 1467866192 + 1 1467865578 + 1 1467865531 <=> 1 1467865592 + 1 1467865623 + 1 1467865636 + 1 1469444647 + 1 1467870991
2070035330	1 1467866997 + 1 1467865856 + 1 1467865812 + 1 1467865578 <=> 1 1467865592 + 1 1467865667 + 1 1467865872 + 1 1469444647 + 1 1467870608 + 1 1467879801
2070036011	1 1467868613 + 1 1467865578 <=> 1 1467865592 + 1 1467876642
2070037067	1 1467899307 + 1 1467865578 + 1 1467865563 <=> 1 1467865544 + 1 1467865592 + 1 1467867529
2070037110	1 1467895413 + 1 1467865578 + 1 1467865563 <=> 1 1467865544 + 1 1467865592 + 1 1467899707
2070039442	1 1467882059 + 1 1467865578 <=> 1 1467865592 + 1 1467913138
2070040497	1 1467879801 + 1 1467867986 + 1 1467865592 <=> 1 1467865578 + 1 1467867437 + 1 1467879874
2070041015	1 1467879801 + 1 1467867268 + 1 1467865592 <=> 1 1467865578 + 1 1467974028
2070041149	1 1467911140 + 1 1467865592 <=> 1 1467865578 + 1 1467911130
2070042658	1 1467866345 + 1 1467865610 + 1 1467865578 <=> 1 1467865592 + 1 1469444647 + 1 1467879801 + 1 1467913437
2070042675	2 1467913437 + 2 1467865610 + 1 1467865578 <=> 1 1467865592 + 1 1469444647 + 2 1467869709 + 2 1467872033 + 2 1467879801
2070044642	1 1467866345 + 1 1467865610 + 1 1467865578 <=> 1 1467865592 + 3 1469442031 + 1 1467869709 + 1 1467872033
2070045823	1 1467897525 + 2 1467865578 <=> 2 1467865592 + 1 1469444647 + 2 1467879801 + 1 1467908977
2070046311	1 1467970739 + 1 1467865592 <=> 1 1467865578 + 1 1467873229
2070047867	1 1467868389 + 1 1469442031 + 1 1467866414 + 1 1467865578 <=> 1 1467865592 + 1 1467877005 + 1 1467879801
2070048875	1 1468580882 + 1 1467879801 + 1 1467865592 <=> 1 1467865578 + 1 1467865610 + 1 1469442031 + 1 1467867255
