,LCSBID
gal1p_c,1467866916
gal1p_e,1467866916
gal1p_p,1467866916
gal_bD_e,1467865936
gal_bD_p,1467865936
gal_c,1467865936
gal_e,1467865936
gal_p,1467865936
galct__D_c,1467874918
galct__D_e,1467874918
galct__D_p,1467874918
galctn__D_c,1467868971
galctn__D_e,1467868971
galctn__D_p,1467868971
galctn__L_c,1467868971
galctn__L_e,1467868971
galctn__L_p,1467868971
galt1p_c,1467873168
galt_e,1569819235
galt_p,1569819235
galur_c,1467868103
galur_e,1467868103
galur_p,1467868103
gam1p_c,1467898462
gam6p_c,1467869989
gam6p_e,1467869989
gam6p_p,1467869989
gam_e,1569658130
gam_p,1569658130
gar_c,1467898800
garagund_c,1469314439
gbbtn_c,1467878476
gbbtn_e,1467878476
gbbtn_p,1467878476
gcald_c,1467869079
gdp_c,1467865994
gdp_e,1467865994
gdp_p,1467865994
gdpddman_c,1467878882
gdpfuc_c,1467869690
gdpmann_c,1467866821
gdpofuc_c,1467878882
gdptp_c,1467903365
gfgaragund_c,1469397036
gg4abut_c,1468004493
ggagicolipa_c,2604447655
ggbutal_c,1468003832
gggagicolipa_c,2604447337
ggptrc_c,1468003823
ghb_c,1467876642
gicolipa_c,
glc__D_c,1467865936
glc__D_e,1467865936
glc__D_p,1467865936
glcn_c,1467868971
glcn_e,1467868971
glcn_p,1467868971
glcr_c,1467874918
glcr_e,1467874918
glcr_p,1467874918
glcur1p_e,1467900146
glcur1p_p,1467900146
glcur_c,1467868103
glcur_e,1467868103
glcur_p,1467868103
gln__L_c,1467866374
gln__L_e,1467866374
gln__L_p,1467866374
glntrna_c,
glu1sa_c,1467898172
glu5p_c,1467895085
glu5sa_c,1467878310
glu__D_c,1467865856
glu__L_c,1467865856
glu__L_e,1467865856
glu__L_p,1467865856
glucys_c,1467873367
glutrna_c,
glx_c,1467866177
gly_c,1467866026
gly_e,1467866026
gly_p,1467866026
glyald_c,1467872492
glyald_e,1467872492
glyald_p,1467872492
glyb_c,1467873865
glyb_e,1467873865
glyb_p,1467873865
glyc2p_c,1467892727
glyc2p_e,1467892727
glyc2p_p,1467892727
glyc3p_c,1467866778
glyc3p_e,1467866778
glyc3p_p,1467866778
glyc__R_c,1467868986
glyc__R_e,1467868986
glyc__R_p,1467868986
glyc_c,1467867087
glyc_e,1467867087
glyc_p,1467867087
glyclt_c,1467867702
glyclt_e,1467867702
glyclt_p,1467867702
glycogen_c,1467867976
glytrna_c,
gmeACP_c,
gmhep17bp_c,1467970699
gmhep1p_c,1467929919
gmhep7p_c,1467929896
gmp_c,1467867475
gmp_e,1467867475
gmp_p,1467867475
gp4g_c,1467879221
grdp_c,1467869865
grxox_c,
grxrd_c,
gslnt_c,
gsn_c,1467870385
gsn_e,1467870385
gsn_p,1467870385
gthox_c,1467867240
gthox_e,1467867240
gthox_p,1467867240
gthrd_c,1467866214
gthrd_e,1467866214
gthrd_p,1467866214
gtp_c,1467866127
gtp_e,1467866127
gtp_p,1467866127
gtspmd_c,1467911802
gua_c,1467868747
gua_e,1467868747
gua_p,1467868747
h2_c,1469444647
h2_e,1469444647
h2_p,1469444647
h2mb4p_c,1467974028
h2o2_c,1467865888
h2o2_e,1467865888
h2o2_p,1467865888
h2o_c,1467879801
h2o_e,1467879801
h2o_p,1467879801
h2s_c,1467869221
h2s_e,1467869221
h2s_p,1467869221
h_c,1469442031
h_e,1469442031
h_p,1469442031
hacolipa_e,
halipa_e,
hco3_c,1467879966
hcys__L_c,1467867625
hdca_c,1467868847
hdca_e,1467868847
hdca_p,1467868847
hdcap_c,
hdcea_c,1467933773
hdcea_e,1467933773
hdcea_p,1467933773
hdceap_c,
hdcoa_c,
hdd2coa_c,1467908137
hdeACP_c,
hemeO_c,1468003536
hexACP_c,2774318163
hg2_c,1467873702
hg2_e,1467873702
hg2_p,1467873702
hgmeACP_c,
hhlipa_c,1468217058
his__L_c,1467867359
his__L_e,1467867359
his__L_p,1467867359
hisp_c,1467877674
histd_c,2592796901
histrna_c,
