,LCSBID
s_0846_c,1467866932
s_0847_c,1467893921
s_0847_m,1467893921
s_0849_c,1467867285
s_0850_c,1467873072
s_0850_e,1467873072
s_0850_m,1467873072
s_0853_c,1467876294
s_0853_m,1467876294
s_0855_c,1467869763
s_0856_c,1467869312
s_0856_e,1467869312
s_0859_g,
s_0861_er,1468211923
s_0861_g,1468211923
s_0861_m,1468211923
s_0864_er,1468224988
s_0864_g,1468224988
s_0864_m,1468224988
s_0867_er,1468211955
s_0867_g,1468211955
s_0867_m,1468211955
s_0870_er,1468225020
s_0870_g,1468225020
s_0870_m,1468225020
s_0873_er,1468211939
s_0873_g,1468211939
s_0873_m,1468211939
s_0876_er,1468225004
s_0876_g,1468225004
s_0876_m,1468225004
s_0879_er,1468211971
s_0879_g,1468211971
s_0879_m,1468211971
s_0882_er,1468185636
s_0882_g,1468185636
s_0882_m,1468185636
s_0885_er,1468211979
s_0885_g,1468211979
s_0885_m,1468211979
s_0888_er,1468224751
s_0888_g,1468224751
s_0888_m,1468224751
s_0892_g,
s_0894_er,1468211655
s_0894_g,1468211655
s_0894_m,1468211655
s_0897_er,1468211677
s_0897_g,1468211677
s_0897_m,1468211677
s_0900_er,1468211717
s_0900_g,1468211717
s_0900_m,1468211717
s_0903_er,1468211725
s_0903_g,1468211725
s_0903_m,1468211725
s_0906_er,1468211685
s_0906_g,1468211685
s_0906_m,1468211685
s_0909_er,1468211709
s_0909_g,1468211709
s_0909_m,1468211709
s_0912_er,1468211733
s_0912_g,1468211733
s_0912_m,1468211733
s_0915_er,1468185628
s_0915_g,1468185628
s_0915_m,1468185628
s_0918_er,1468211741
s_0918_g,1468211741
s_0918_m,1468211741
s_0921_er,1468211749
s_0921_g,1468211749
s_0921_m,1468211749
s_0924_c,1467995313
s_0924_e,1467995313
s_0924_m,1467995313
s_0927_c,1467979063
s_0927_e,1467979063
s_0929_c,1467925677
s_0929_e,1467925677
s_0929_m,1467925677
s_0932_c,1467994116
s_0932_e,1467994116
s_0932_m,1467994116
s_0935_c,1468173957
s_0935_e,1468173957
s_0937_c,1468169329
s_0937_e,1468169329
s_0937_m,1468169329
s_0940_c,1467869532
s_0940_m,1467869532
s_0940_p,1467869532
s_0943_c,1467867268
s_0943_lp,1467867268
s_0943_m,1467867268
s_0946_m,1467871497
s_0949_m,1467872008
s_0950_c,1467866603
s_0951_c,1467867780
s_0952_c,1467894577
s_0953_c,1467876325
s_0954_m,1467913461
s_0955_c,1467866080
s_0955_e,1467866080
s_0955_m,1467866080
s_0958_c,1467868061
s_0959_c,1467900456
s_0960_c,1467974152
s_0961_c,1467870302
s_0961_e,1467870302
s_0963_c,1467867962
s_0963_e,1467867962
s_0965_c,1467866345
s_0965_e,1467866345
s_0965_m,1467866345
s_0965_v,1467866345
s_0969_c,1467867581
s_0969_e,1467867581
s_0969_m,1467867581
s_0969_v,1467867581
s_0973_c,1467866192
s_0973_e,1467866192
s_0973_m,1467866192
s_0973_p,1467866192
s_0973_v,1467866192
s_0978_c,1467870991
s_0979_c,1467869709
s_0980_c,1467872129
s_0981_c,1467866836
s_0981_e,1467866836
s_0983_c,1467880428
s_0984_c,1467871513
s_0984_v,1467871513
s_0986_c,1467895085
s_0987_c,1467898142
s_0988_c,1467873367
s_0989_c,1467870443
s_0989_e,1467870443
s_0991_c,1467865856
s_0991_e,1467865856
s_0991_m,1467865856
s_0991_n,1467865856
s_0991_p,1467865856
s_0991_v,1467865856
s_0997_c,1467878310
s_0999_c,1467866374
s_0999_e,1467866374
s_0999_n,1467866374
s_0999_v,1467866374
s_1003_c,1467866026
s_1003_e,1467866026
s_1003_m,1467866026
s_1006_c,1467867359
s_1006_e,1467867359
s_1006_m,1467867359
s_1006_v,1467867359
s_1010_c,1467875398
s_1011_c,1467877674
s_1012_c,1467867625
s_1014_c,1467869044
s_1014_e,1467869044
s_1016_c,1467870608
s_1016_e,1467870608
s_1016_m,1467870608
s_1016_v,1467870608
s_1020_c,1467869724
s_1021_c,1467867191
s_1021_e,1467867191
s_1021_m,1467867191
s_1021_v,1467867191
s_1025_c,1467866162
s_1025_e,1467866162
s_1025_m,1467866162
s_1025_v,1467866162
s_1029_c,1467866492
s_1029_e,1467866492
s_1029_m,1467866492
s_1032_c,1467866580
s_1032_e,1467866580
s_1032_m,1467866580
s_1035_c,1467867529
s_1035_e,1467867529
s_1035_m,1467867529
s_1038_c,1467871065
s_1039_c,1467866388
s_1039_er,1467866388
s_1039_e,1467866388
s_1039_m,1467866388
s_1043_c,1467868822
s_1043_e,1467868822
s_1045_c,1467868061
s_1045_e,1467868061
s_1045_m,1467868061
s_1048_c,1467866565
s_1048_e,1467866565
s_1048_m,1467866565
s_1051_c,1467866617
s_1051_e,1467866617
s_1051_m,1467866617
s_1051_p,1467866617
s_1051_v,1467866617
s_1056_c,1467867986
s_1056_e,1467867986
s_1056_m,1467867986
s_1059_c,1467882950
s_1059_e,1467882950
s_1065_c,1467890574
s_1065_e,1467890574
s_1065_p,1467890574
s_1073_c,1467883918
s_1073_p,1467883918
s_1077_c,1467885770
s_1077_m,1467885770
s_1079_c,1467875902
s_1079_n,1467875902
s_1081_c,1467886730
s_1081_n,1467886730
s_1085_er,1467933316
s_1096_c,
s_1097_m,1467868835
s_1098_m,1467885810
s_1099_c,1467884810
s_1099_m,1467884810
s_1101_c,1467866633
s_1101_m,1467866633
s_1105_c,1467868016
s_1105_e,1467868016
s_1107_c,1467883757
s_1107_er,1467883757
s_1109_er,1469366434
s_1109_m,1469366434
s_1111_er,1469366325
s_1111_m,1469366325
s_1114_g,1569592576
s_1116_er,1468211757
s_1116_g,1468211757
s_1116_m,1468211757
s_1119_er,1468224916
s_1119_g,1468224916
s_1119_m,1468224916
s_1122_er,1468211789
s_1122_g,1468211789
s_1122_m,1468211789
s_1125_er,1468224948
s_1125_g,1468224948
s_1125_m,1468224948
s_1128_er,1468211773
s_1128_g,1468211773
s_1128_m,1468211773
s_1131_er,1468224932
s_1131_g,1468224932
s_1131_m,1468224932
s_1134_er,1468211805
s_1134_g,1468211805
s_1134_m,1468211805
s_1137_er,1468224964
s_1137_g,1468224964
s_1137_m,1468224964
s_1140_er,1468211893
s_1140_g,1468211893
s_1140_m,1468211893
s_1143_er,1468224743
s_1143_g,1468224743
s_1143_m,1468224743
s_1148_c,1467888752
s_1148_m,1467888752
s_1150_c,1467870640
s_1151_c,1467872180
s_1153_c,1467867385
s_1153_e,1467867385
s_1156_c,1467879456
s_1156_n,1467879456
s_1158_c,1467878694
s_1158_n,1467878694
s_1161_c,1467917663
s_1161_e,1467917663
s_1161_p,1467917663
s_1176_c,1467889952
s_1176_p,1467889952
s_1180_c,1467872821
s_1181_c,1467889755
s_1182_m,1467870941
s_1183_c,1467878165
s_1184_c,1467903681
s_1185_c,1468174181
s_1185_e,1468174181
s_1187_c,1467902086
s_1188_c,1467902426
s_1189_c,1467901708
s_1190_c,1467870068
s_1191_m,1467900875
s_1192_m,1467872933
s_1193_c,1467890812
s_1194_c,1467870954
s_1195_c,1467890695
s_1196_c,1468174117
s_1198_c,1467865544
s_1198_er,1467865544
s_1198_m,1467865544
s_1198_n,1467865544
s_1198_p,1467865544
s_1203_c,1467865563
s_1203_er,1467865563
